RAIZ|<DESCRIÇÃORAIZ>|<CAMINHOIMAGEM>|1|1'|<ESPECIE> 
1|Lábio superior acentuadamente pregueado formando sulcos verticais profundos; crânio com a porção pré-maxilar do palato ausente, e incisivos superiores distintamente separados na base devido à separação dos ramos nasais dos pré-maxilares|c:/Users/Gabriel S. Kraszczuk/Pictures/Coracao.png#c:/|2|2'|  
1'|Lábio superior liso ou raramente com diminutos sulcos faciais, nunca acentuadamente pregueado formando sulcos verticais profundos (Fig. 3b, c); crânio com palato completo, sem reentrância, e incisivos superiores unidos na base ou na região mediana devido à junção dos ramos nasais dos prémaxilares|c:/|5|5'| 
2|Incisivos 1/3; Ant: 41,0–45,0; Ccr: 16,0–17,6; bordas internas das orelhas separadas na linha mediana sobre a cabeça (muitas vezes, uma faixa de pêlos esconde esse hiato); face com pêlos rígidos em forma de espinhos (Fig. 3a); dígito IV com o comprimento da segunda falange aproximadamente 2/ 3 do comprimento da primeira (IV dígito - 1ª Fa: 12,0–15,0; 2ª Fa: 7,5–9,5); reentrância palatal larga, de 0,7-1,0|c:/|NULL|NULL|Tadarida brasiliensis 
2'|Incisivos 1/2; bordas internas das orelhas unidas na linha mediana sobre a cabeça; face com pêlos maleáveis e delgados, não espiniformes; dígito IV com a segunda falange geralmente com menos de 1/4 do tamanho da primeira; reentrância palatal estreita, de 0,2-0,6|c:/|3|3'|Nyctinomops
3|Tamanho maior (m - Ant: 59,8-64,7; Ccr: 22,4-24,1; f - Ant: 58,2-61,1; Ccr: 22,4-23,2); IV dígito - 1ª Fa: 18,0–21,3; 2ª Fa: 2,5–3,8|c:/|NULL|NULL|Nyctinomops macrotis
3'|Tamanho menor (Ant < 55,0; Ccr <22,0)|c:/|4|4'| 
4|Comprimento do antebraço: m - 50,0-51,5; f - 50,4-52,2; Comprimento total do crânio:- m - 21,6; f - 20,1-20,8; IV dígito – 1a Fa: 18,6-19,5; 2a Fa: 3,4|c:/|NULL|NULL|Nyctinomops aurispinosus
4'|Comprimento do antebraço:- m - 42,3-47,3; f - 43,2-46,6; Comprimento total do crânio:- m - 17,7-19,2; f - 17,3-18,1; IV dígito – 1a Fa: 15,4-18,0; 2a Fa: 2,2-3,6|c:/|NULL|NULL|Nyctinomops laticaudatus
5|Antebraço com granulações conspícuas na superfície dorsal (Fig. 6); pré-molares geralmente 2/2; achatamento craniano conspícuo (m - Ant: 27,8-32,2; Ccr: 16,8; f - Ant: 28,1-29,0; Ccr: 14,4-15,2)|c:/|NULL|NULL|Molossops (Neoplatymops) mattogrossensis
5'|Antebraço liso, sem granulações conspícuas na superfície dorsal; crânio mais abaulado|c:/|6|6'| 
